Vin(V),Vout(V)
-2.32372,2.40964
-2.25962,2.40964
-2.16346,2.40964
-2.08333,2.40964
-2.00321,2.39357
-1.93910,2.39357
-1.87500,2.37751
-1.81090,2.34538
-1.76282,2.29719
-1.73077,2.24900
-1.69872,2.20080
-1.65064,2.16867
-1.61859,2.12048
-1.58654,2.05622
-1.55449,1.99197
-1.49038,1.94378
-1.45833,1.87952
-1.41026,1.81526
-1.36218,1.75100
-1.33013,1.68675
-1.28205,1.63855
-1.26603,1.57430
-1.23397,1.51004
-1.20192,1.44578
-1.18590,1.38153
-1.15385,1.30120
-1.13782,1.23695
-1.12179,1.17269
-1.10577,1.10843
-1.08974,1.04418
-1.07372,0.96386
-1.07372,0.88353
-1.05769,0.81928
-1.04167,0.73896
-1.04167,0.67470
-1.02564,0.59438
-1.00962,0.51406
-0.99359,0.46586
-0.99359,0.40161
-0.99359,0.33735
-0.97756,0.27309
-0.97756,0.20884
-0.96154,0.14458
-0.96154,0.06426
-0.96154,-0.01606
-0.97756,-0.09639
-0.94551,-0.16064
-0.94551,-0.24096
-0.94551,-0.30522
-0.94551,-0.38554
-0.92949,-0.44980
-0.92949,-0.53012
-0.92949,-0.61044
-0.91346,-0.69076
-0.91346,-0.75502
-0.91346,-0.83534
-0.91346,-0.89960
-0.91346,-0.99598
-0.91346,-1.06024
-0.91346,-1.14056
-0.91346,-1.22088
-0.91346,-1.28514
-0.92949,-1.39759
-0.92949,-1.52610
-0.84936,-1.52610
-0.78526,-1.54217
-0.72115,-1.54217
-0.65705,-1.52610
-0.59295,-1.54217
-0.52885,-1.54217
-0.48077,-1.54217
-0.41667,-1.54217
-0.35256,-1.54217
-0.30449,-1.54217
-0.25641,-1.54217
-0.19231,-1.54217
-0.14423,-1.54217
-0.08013,-1.54217
-0.01603,-1.54217
0.04808,-1.54217
0.11218,-1.54217
0.17628,-1.54217
0.24038,-1.52610
0.30449,-1.54217
0.36859,-1.54217
0.44872,-1.54217
0.51282,-1.54217
0.57692,-1.54217
0.64103,-1.54217
0.70513,-1.54217
0.76923,-1.54217
0.84936,-1.54217
0.89744,-1.54217
0.96154,-1.54217
1.02564,-1.54217
1.08974,-1.54217
1.13782,-1.54217
1.20192,-1.54217
1.26603,-1.54217
1.33013,-1.54217
1.41026,-1.54217
1.47436,-1.54217
1.55449,-1.54217
1.63462,-1.54217
1.71474,-1.54217
1.79487,-1.54217
1.85897,-1.54217
1.92308,-1.54217
2.00321,-1.54217
2.06731,-1.54217
2.13141,-1.54217
2.19551,-1.54217
2.25962,-1.54217
2.32372,-1.54217
2.38782,-1.54217
2.45192,-1.54217
2.50000,-1.54217
2.56410,-1.54217
2.61218,-1.54217
2.66026,-1.54217
2.70833,-1.54217
