Time(ns),Signal(V)
-123.79614767255217, 0.19277108433734913
-122.9935794542536, 0.04819277108433706
-122.19101123595506, -0.0642570281124506
-121.78972712680577, -0.1285140562249003
-120.98715890850723, -0.20883534136546178
-120.18459069020867, -0.28915662650602414
-120.18459069020867, -0.38554216867469915
-119.38202247191012, -0.44979919678714886
-118.98073836276083, -0.5140562248995986
-118.57945425361156, -0.5783132530120483
-117.776886035313, -0.642570281124498
-117.37560192616372, -0.7068273092369486
-116.97431781701445, -0.8032128514056227
-116.17174959871589, -0.8835341365461851
-115.77046548956662, -0.9799196787148592
-115.36918138041733, -1.0281124497991971
-114.56661316211878, -1.1244979919678721
-113.76404494382022, -1.1887550200803219
-113.36276083467095, -1.2690763052208833
-112.96147672552166, -1.3172690763052213
-112.15890850722312, -1.3975903614457836
-111.35634028892456, -1.5100401606425704
-110.553772070626, -1.5903614457831328
-109.75120385232745, -1.670682730923696
-108.94863563402889, -1.7349397590361457
-108.54735152487962, -1.8313253012048198
-108.14606741573033, -1.9116465863453813
-107.34349919743178, -2.0401606425702816
-106.13964686998395, -2.1365461847389566
-104.93579454253612, -2.1847389558232937
-102.92937399678974, -2.2489959839357443
-100.92295345104334, -2.265060240963856
-98.51524879614767, -2.120481927710844
-99.71910112359551, -2.2008032128514063
-96.91011235955057, -2.024096385542169
-96.107544141252, -1.9277108433734949
-94.5024077046549, -1.8313253012048198
-93.69983948635634, -1.7349397590361457
-92.89727126805778, -1.6385542168674698
-91.29213483146067, -1.5421686746987957
-90.48956661316211, -1.4618473895582333
-89.28571428571428, -1.3493975903614466
-88.48314606741573, -1.2530120481927716
-87.68057784911717, -1.1566265060240966
-86.87800963081861, -1.0602409638554224
-86.07544141252006, -0.9799196787148592
-85.27287319422152, -0.8995983935742977
-84.06902086677368, -0.8032128514056227
-84.06902086677368, -0.738955823293173
-83.26645264847511, -0.6265060240963853
-82.46388443017656, -0.5461847389558239
-81.66131621187802, -0.48192771084337416
-80.45746388443018, -0.38554216867469915
-79.65489566613162, -0.32128514056224944
-78.45104333868379, -0.20883534136546178
-78.04975922953452, -0.1285140562249003
-77.64847512038523, -0.0321285140562253
-77.24719101123596, 0.06425702811244927
-76.04333868378812, 0.16064257028112428
-75.64205457463885, 0.25702811244979884
-75.24077046548956, 0.32128514056224855
-74.43820224719101, 0.4176706827309231
-73.63563402889245, 0.4979919678714859
-72.8330658105939, 0.6104417670682731
-71.22792937399679, 0.7871485943775101
-72.03049759229535, 0.7068273092369481
-70.02407704654897, 0.8995983935742973
-69.62279293739968, 0.9959839357429718
-68.82022471910113, 1.0763052208835342
-67.6163723916533, 1.1726907630522088
-67.21508828250401, 1.2530120481927711
-66.01123595505618, 1.365461847389558
-64.40609951845907, 1.429718875502008
-63.20224719101124, 1.461847389558233
-61.597110754414125, 1.461847389558233
-60.3932584269663, 1.3975903614457832
-59.99197431781701, 1.333333333333333
-59.18940609951845, 1.2530120481927711
-57.58426966292134, 1.1887550200803214
-56.78170144462278, 1.1244979919678717
-54.7752808988764, 1.0441767068273093
-54.37399678972713, 0.963855421686747
-53.170144462279296, 0.8835341365461846
-52.367576243980736, 0.8192771084337349
-51.96629213483146, 0.7550200803212852
-51.1637239165329, 0.6746987951807233
-49.558587479935795, 0.6265060240963853
-49.15730337078652, 0.5622489959839356
-48.35473515248796, 0.48192771084337327
-47.953451043338674, 0.38554216867469826
-47.15088282504013, 0.32128514056224855
-46.34831460674157, 0.22489959839357399
-45.54574638844302, 0.14457831325301207
-45.14446227929375, 0.06425702811244927
-44.74317817014446, 0.01606425702811265
-43.9406099518459, -0.04819277108433706
-43.53932584269663, -0.1285140562249003
-43.138041733547354, -0.20883534136546178
-41.93418940609952, -0.3052208835341368
-41.131621187800974, -0.38554216867469915
-41.131621187800974, -0.44979919678714886
-40.32905296950241, -0.5140562248995986
-39.927768860353126, -0.6104417670682736
-39.52648475120385, -0.6746987951807233
-39.12520064205458, -0.7550200803212856
-38.72391653290531, -0.835341365461848
-37.52006420545746, -0.8995983935742977
-37.118780096308186, -0.9799196787148592
-37.118780096308186, -1.0763052208835342
-36.71749598715891, -1.1566265060240966
-35.513643659711065, -1.2208835341365463
-34.71107544141252, -1.3012048192771095
-33.90850722311396, -1.3654618473895592
-33.90850722311396, -1.477911646586346
-32.704654895666124, -1.5742971887550201
-31.902086677367578, -1.6385542168674698
-31.902086677367578, -1.7188755020080322
-31.50080256821829, -1.7991967871485954
-30.69823434991973, -1.879518072289157
-29.895666131621184, -1.9598393574297193
-29.093097913322623, -2.0562248995983943
-27.487961476725516, -2.1526104417670684
-25.88282504012841, -2.216867469879518
-23.475120385232742, -2.2329317269076308
-21.468699839486362, -2.1847389558232937
-20.6661316211878, -2.120481927710844
-19.462279293739968, -2.008032128514057
-18.659711075441408, -1.9277108433734949
-18.659711075441408, -1.9277108433734949
-17.0545746388443, -1.8313253012048198
-16.653290529695028, -1.7188755020080322
-15.04815409309792, -1.6385542168674698
-13.844301765650073, -1.5582329317269084
-13.041733547351527, -1.4618473895582333
-12.640449438202253, -1.381526104417671
-11.436597110754406, -1.3172690763052213
-10.63402889245586, -1.236947791164659
-9.831460674157299, -1.1726907630522092
-9.028892455858738, -1.0763052208835342
-7.825040128410919, -1.0281124497991971
-7.423756019261631, -0.9477911646586348
-6.621187800963071, -0.8674698795180724
-6.621187800963071, -0.7871485943775101
-5.818619582664525, -0.690763052208835
-5.016051364365964, -0.6104417670682736
-3.8121990369181447, -0.5140562248995986
-3.009630818619584, -0.4016064257028109
-1.8057784911717505, -0.32128514056224944
-1.4044943820224773, -0.25702811244979973
-1.00321027287319, -0.16064257028112472
0.20064205457462947, -0.0642570281124506
0.6019261637239168, 0.01606425702811265
1.00321027287319, 0.09638554216867412
1.8057784911717505, 0.19277108433734913
2.608346709470297, 0.30522088353413634
3.00963081861957, 0.36947791164658605
3.8121990369181447, 0.48192771084337327
4.614767255216691, 0.5622489959839356
5.417335473515237, 0.642570281124498
6.2199036918137836, 0.7228915662650603
6.621187800963099, 0.8192771084337349
7.423756019261646, 0.8995983935742973
8.226324237560192, 1.0281124497991971
9.028892455858738, 1.108433734939759
9.831460674157313, 1.2208835341365463
11.035313001605147, 1.333333333333333
11.837881219903693, 1.429718875502008
13.844301765650073, 1.4779116465863456
15.850722311396481, 1.461847389558233
16.25200642054574, 1.381526104417671
17.455858747993602, 1.3172690763052208
18.659711075441408, 1.2530120481927711
19.462279293739982, 1.1887550200803214
21.067415730337075, 1.1566265060240966
21.468699839486362, 1.0281124497991971
22.672552166934196, 0.9799196787148592
24.277688603531317, 0.8995983935742973
25.080256821829835, 0.8353413654618476
25.48154093097915, 0.7550200803212852
26.284109149277697, 0.7228915662650603
27.08667736757627, 0.642570281124498
27.88924558587479, 0.5783132530120483
29.49438202247191, 0.5301204819277108
30.296950240770485, 0.4497991967871484
30.698234349919744, 0.36947791164658605
31.50080256821829, 0.2891566265060237
31.902086677367578, 0.24096385542168663
32.303370786516865, 0.14457831325301207
33.10593900481541, 0.06425702811244927
33.5072231139647, -0.0321285140562253
34.309791332263245, -0.09638554216867501
34.711075441412504, -0.16064257028112472
35.51364365971108, -0.24096385542168708
36.316211878009625, -0.32128514056224944
36.71749598715891, -0.41767068273092445
37.1187800963082, -0.48192771084337416
37.52006420545746, -0.5622489959839356
37.921348314606746, -0.6104417670682736
38.32263242375603, -0.6746987951807233
39.12520064205458, -0.738955823293173
39.52648475120384, -0.7871485943775101
39.927768860353154, -0.8514056224899598
40.73033707865167, -0.9317269076305221
41.13162118780096, -1.0120481927710845
41.13162118780096, -1.0602409638554224
41.53290529695025, -1.1084337349397595
42.33547351524879, -1.1726907630522092
42.73675762439805, -1.236947791164659
43.13804173354737, -1.3172690763052213
43.53932584269663, -1.3975903614457836
44.34189406099517, -1.477911646586346
45.14446227929375, -1.5742971887550201
45.54574638844301, -1.6385542168674698
46.34831460674158, -1.7188755020080322
47.15088282504013, -1.7991967871485954
47.55216693418939, -1.879518072289157
48.35473515248796, -1.9437751004016066
48.75601926163725, -2.024096385542169
49.558587479935795, -2.0883534136546187
50.76243980738363, -2.1526104417670684
52.36757624398075, -2.216867469879518
53.97271268057787, -2.2971887550200805
55.577849117174964, -2.2489959839357443
56.7817014446228, -2.168674698795181
57.98555377207063, -2.0883534136546187
58.788121990369206, -2.0401606425702816
59.59069020866775, -1.9598393574297193
60.3932584269663, -1.8955823293172696
61.195826645264845, -1.8313253012048198
61.99839486356342, -1.7510040160642575
63.202247191011224, -1.6867469879518078
64.0048154093098, -1.5903614457831328
64.80738362760835, -1.4939759036144586
65.60995184590692, -1.4136546184738963
66.01123595505618, -1.3012048192771095
67.6163723916533, -1.2208835341365463
68.41894060995185, -1.1566265060240966
69.22150882825039, -1.044176706827309
70.42536115569825, -0.9799196787148592
71.62921348314609, -0.8835341365461851
72.03049759229535, -0.7871485943775101
73.23434991974318, -0.690763052208835
73.63563402889247, -0.6104417670682736
74.43820224719101, -0.5140562248995986
74.8394863563403, -0.4016064257028109
76.44462279293742, -0.3052208835341368
76.84590690208668, -0.20883534136546178
77.64847512038523, -0.1285140562249003
78.4510433386838, -0.01606425702811265
79.25361155698235, 0.08032128514056236
80.0561797752809, 0.17670682730923692
80.45746388443018, 0.25702811244979884
81.26003210272876, 0.3373493975903612
82.06260032102728, 0.4337349397590362
82.46388443017656, 0.5461847389558234
83.26645264847514, 0.6265060240963853
84.06902086677366, 0.7068273092369481
84.47030497592297, 0.8192771084337349
84.47030497592297, 0.8192771084337349
85.67415730337078, 0.8674698795180724
86.47672552166935, 0.963855421686747
87.2792937399679, 1.0763052208835342
87.68057784911718, 1.1566265060240966
88.88443017656499, 1.2369477911646585
89.68699839486356, 1.3012048192771082
90.08828250401285, 1.381526104417671
91.29213483146069, 1.4457831325301207
93.29855537720707, 1.461847389558233
94.10112359550564, 1.4136546184738958
94.90369181380416, 1.333333333333333
96.10754414125202, 1.285140562248996
97.31139646869985, 1.2048192771084336
98.51524879614769, 1.1566265060240966
99.31781701444623, 1.0763052208835342
101.32423756019261, 1.060240963855422
101.7255216693419, 0.9477911646586343
102.52808988764045, 0.8674698795180724
104.13322632423757, 0.7710843373493979
104.53451043338683, 0.7068273092369481
104.93579454253614, 0.6265060240963853
106.13964686998395, 0.5622489959839356
107.34349919743178, 0.48192771084337327
108.14606741573036, 0.40160642570281135
108.9486356340289, 0.3373493975903612
109.34991974317816, 0.2730923694779115
110.15248796147674, 0.19277108433734913
110.553772070626, 0.12851405622489942
111.35634028892457, 0.04819277108433706
111.35634028892457, -0.0321285140562253
112.15890850722312, -0.11244979919678766
113.36276083467095, -0.20883534136546178
113.76404494382024, -0.28915662650602414
114.1653290529695, -0.38554216867469915
114.96789727126807, -0.44979919678714886
115.36918138041733, -0.5140562248995986
115.77046548956662, -0.5943775100401609
116.57303370786516, -0.6746987951807233
116.97431781701445, -0.7710843373493983
117.77688603531303, -0.8674698795180724
118.57945425361154, -0.9477911646586348
118.98073836276083, -1.0602409638554224
119.7833065810594, -1.1566265060240966
120.98715890850724, -1.2690763052208833
121.3884430176565, -1.3654618473895592
122.19101123595505, -1.4618473895582333
122.99357945425362, -1.5742971887550201
123.39486356340288, -1.6867469879518078
