presa,forma,freq(Hz),low(V),high(V),duty(%)
S1,SENO,100,-0.01,-3,50
S2,SENO,100,-0.3,-3,50 
S3,SENO,100,-0.3,-3,50
S4,SENO,5,-0.3,-3,50
S5,SENO,5,-0.4,-2.8,50
S6,QUADRA,5,-0.4,-2.8,85
S7,RAMPA,5,-0.4,-2.8,50
S8,SENO,5,-0.4,-3,50
S9,SENO,10,-0.4,-3,50
S10,SENO,50,-0.4,-3,50
S11,SENO,100,-0.4,-3,50
S12,SENO,130,-0.4,-3,50
S13,SENO,180,-0.4,-3,50
S14,SENO,230,-0.4,-3,50
S15,SENO,270,-0.4,-3,50
S16,SENO,320,-0.4,-3,50
S17,SENO,360,-0.4,-3,50
S18,SENO,400,-0.4,-3,50
S19,SENO,450,-0.4,-3,50
S20,SENO,500,-0.4,-3,50
S21,SENO,600,-0.4,-3,50
S22,SENO,700,-0.4,-3,50
S23,SENO,850,-0.4,-3,50
S24,SENO,1000,-0.4,-3,50
S25,SENO,2000,-0.4,-3,50
