f,PPch1,PPch2,G,G dB,fase,Div 20/20
1,64,114,1.78125,5.01449754705171,1.46,
10,61.6,116,1.88311688311688,5.49754554124986,0.716,
100,61.1,121,1.98036006546645,5.93488320147792,0.36,
1000,60.8,119,1.95723684210526,5.83286764239592,0.719,
5000,60.8,119,1.95723684210526,5.83286764239592,1.8,
13000,56.8,112,1.97183098591549,5.89739373918325,3.75,
50000,61.6,119,1.93181818181818,5.71932498456211,7.2,
100000,55.2,104,1.88405797101449,5.50188523139163,4.2,
200000,57.6,106,1.84027777777778,5.29766763683116,4.32,
350000,52.8,90.4,1.71212121212121,4.67069015883102,40.1,
500000,54.4,81.6,1.5,3.52182518111362,52.5,
600000,56.8,77.6,1.36619718309859,2.71026771094339,60.6,
750000,54.4,67.2,1.23529411764706,1.83540746711291,71.9,
1000000,55.2,54.4,0.985507246376812,-0.126803560620381,86.5,
1700000,55.2,33.6,0.608695652173913,-4.3119960067871,/,
2500000,56.8,21.6,0.380281690140845,-8.39789169120176,/,
3300000,56.8,15.2,0.267605633802817,-11.4500949553249,,
5000000,57.6,8.8,0.152777777777778,-16.3187962254609,/,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
,,,#DIV/0!,#DIV/0!,,
